2026-05-24 23:56:29 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:29 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:32 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:32 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:35 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:35 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:38 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:38 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:41 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:41 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:44 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:44 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:47 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:47 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:50 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:50 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:53 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:53 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:56 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
